Produk sering beli,Saluran belanja,Motivasi utama pembelian,Hobi,Minat,Pernyataan: Membaca adalah bagian penting dari pengembangan diri saya,Pernyataan: Saya sering mencari inspirasi untuk kegiatan kreatif dari buku atau alat tulis,Pernyataan: Saya berusaha menerapkan gaya hidup minimalis dalam hal kepemilikan barang,Pernyataan: Saya nyaman menggunakan teknologi digital untuk membaca dan mencatat
Mainan/Collectible item; Buku Anak; Alat Musik,Toko Gramedia,Sebagai bentuk 'self-reward' atau apresiasi diri,Belanja online/offline; Bermain musik,Mainan,Setuju,Sangat Tidak Setuju,Sangat Setuju,Tidak Setuju
"Alat Tulis Umum (Kantor/Sekolah); Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Website Gramedia.com,Untuk mengekspresikan kreativitas,Olahraga; Menghadiri acara budaya atau edukasi,Mainan,Tidak Setuju,Tidak Setuju,Sangat Tidak Setuju,Setuju
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.); Alat Musik; Jurnal/Perencana (Planner)",Toko buku independen lainnya,Sebagai bentuk 'self-reward' atau apresiasi diri; Menambah pengetahuan; Hiburan atau relaksasi,Belanja online/offline,"Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Tidak Setuju,Netral,Setuju,Tidak Setuju
Buku Anak; Perlengkapan Seni/Kreatif; Alat Tulis Umum (Kantor/Sekolah),Website Gramedia.com,Sebagai bentuk 'self-reward' atau apresiasi diri,Belanja online/offline,"Mainan; Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Tidak Setuju,Sangat Tidak Setuju,Sangat Setuju,Tidak Setuju
Perlengkapan Seni/Kreatif; Perlengkapan Kantor atau Sekolah,Toko buku independen lainnya,Hiburan atau relaksasi,Melukis atau menggambar ,Alat Tulis kantor atau sekolah; Alat Musik & kesenian,Netral,Sangat Tidak Setuju,Sangat Setuju,Tidak Setuju
Alat Olahraga,Aplikasi Gramedia Digital (ebook),Kado atau hadiah,Travelling; Bermain musik; Melukis atau menggambar ,"Buku non-fiksi (pengembangan diri, sejarah, agama)",Sangat Tidak Setuju,Sangat Tidak Setuju,Setuju,Sangat Tidak Setuju
Alat Olahraga,Aplikasi Gramedia Digital (ebook),Sebagai bentuk 'self-reward' atau apresiasi diri,Bermain musik,"Alat Musik & kesenian; Kesehatan dan Kecantikan; Buku fiksi (novel, komik, buku anak)",Sangat Setuju,Tidak Setuju,Sangat Setuju,Sangat Tidak Setuju
Mainan/Collectible item; Alat Olahraga,Aplikasi Gramedia.com,"Menambah pengetahuan; Untuk mengekspresikan kreativitas; Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Olahraga,Kesehatan dan Kecantikan; Alat Tulis kantor atau sekolah; Alat Olahraga,Netral,Tidak Setuju,Netral,Setuju
"Perlengkapan Seni/Kreatif; Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.); Jurnal/Perencana (Planner)",Aplikasi Gramedia.com,"Menambah pengetahuan; Sebagai bentuk 'self-reward' atau apresiasi diri; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Bermain musik,"Buku non-fiksi (pengembangan diri, sejarah, agama); Mainan",Tidak Setuju,Setuju,Sangat Setuju,Sangat Setuju
Komik/Novel Grafis; Alat Musik,Aplikasi Gramedia Digital (ebook),Menambah pengetahuan; Sebagai bentuk 'self-reward' atau apresiasi diri; Kado atau hadiah,"Membaca buku atau majalah ; Menulis (diari, blog, atau lainnya); Melukis atau menggambar ",Alat Tulis kantor atau sekolah,Tidak Setuju,Sangat Setuju,Sangat Tidak Setuju,Netral
Alat Tulis Umum (Kantor/Sekolah),Toko buku independen lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Membaca buku atau majalah ,"Alat Olahraga; Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Sangat Setuju,Sangat Setuju,Tidak Setuju,Setuju
Perlengkapan Seni/Kreatif; Buku Anak,"Marketplace (Shopee, Tokopedia, dll.)","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Hiburan atau relaksasi","Belanja online/offline; Bermain game (offline/online); Menulis (diari, blog, atau lainnya)","Buku fiksi (novel, komik, buku anak); Mainan",Sangat Tidak Setuju,Tidak Setuju,Sangat Setuju,Setuju
Jurnal/Perencana (Planner); Perlengkapan Kantor atau Sekolah,Website Gramedia.com,Untuk mengekspresikan kreativitas,Bermain game (offline/online); Bermain musik,Kesehatan dan Kecantikan; Alat Olahraga,Setuju,Netral,Sangat Tidak Setuju,Sangat Setuju
Perlengkapan Kantor atau Sekolah,Toko alat tulis lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Menambah pengetahuan",Menghadiri acara budaya atau edukasi; Bermain musik,Alat Musik & kesenian,Netral,Setuju,Tidak Setuju,Sangat Setuju
Perlengkapan Seni/Kreatif; Mainan/Collectible item,Toko alat tulis lainnya,"Hiburan atau relaksasi; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Untuk mengekspresikan kreativitas",Belanja online/offline; Menghadiri acara budaya atau edukasi,"Buku fiksi (novel, komik, buku anak); Kesehatan dan Kecantikan",Setuju,Sangat Setuju,Setuju,Netral
Novel Fiksi,Toko buku independen lainnya,"Untuk mengekspresikan kreativitas; Menambah pengetahuan; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Menulis (diari, blog, atau lainnya); Bermain game (offline/online)","Buku non-fiksi (pengembangan diri, sejarah, agama); Alat Musik & kesenian; Alat Tulis kantor atau sekolah",Sangat Tidak Setuju,Sangat Setuju,Setuju,Setuju
Mainan/Collectible item,Toko alat tulis lainnya,Sebagai bentuk 'self-reward' atau apresiasi diri,Membaca buku atau majalah ; Bermain musik; Olahraga,Kesehatan dan Kecantikan,Tidak Setuju,Sangat Setuju,Sangat Setuju,Tidak Setuju
"Novel Fiksi; Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)","Marketplace (Shopee, Tokopedia, dll.)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Membaca buku atau majalah ; Travelling; Bermain musik,Alat Tulis kantor atau sekolah,Sangat Tidak Setuju,Sangat Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju
Alat Tulis Umum (Kantor/Sekolah),"Marketplace (Shopee, Tokopedia, dll.)","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Bermain musik; Olahraga; Menghadiri acara budaya atau edukasi,Alat Musik & kesenian,Setuju,Tidak Setuju,Netral,Netral
Novel Fiksi; Alat Musik,Aplikasi Gramedia Digital (ebook),"Untuk mengekspresikan kreativitas; Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Menghadiri acara budaya atau edukasi; Olahraga; Bermain game (offline/online),"Buku fiksi (novel, komik, buku anak); Kesehatan dan Kecantikan; Alat Tulis kantor atau sekolah",Tidak Setuju,Netral,Tidak Setuju,Netral
Alat Olahraga,Toko Gramedia,"Untuk mengekspresikan kreativitas; Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Menghadiri acara budaya atau edukasi,"Buku Edukasi (Buku Teks, Latihan Soal, Kamus); Alat Musik & kesenian; Buku non-fiksi (pengembangan diri, sejarah, agama)",Sangat Setuju,Sangat Setuju,Sangat Setuju,Tidak Setuju
Mainan/Collectible item,Toko Gramedia,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Travelling,"Alat Musik & kesenian; Alat Tulis kantor atau sekolah; Buku fiksi (novel, komik, buku anak)",Sangat Setuju,Netral,Setuju,Sangat Tidak Setuju
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus); Buku Anak",Aplikasi Gramedia.com,Sebagai bentuk 'self-reward' atau apresiasi diri,Olahraga,"Buku non-fiksi (pengembangan diri, sejarah, agama); Alat Musik & kesenian; Kesehatan dan Kecantikan",Setuju,Tidak Setuju,Netral,Sangat Tidak Setuju
Mainan/Collectible item,Aplikasi Gramedia.com,"Menambah pengetahuan; Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Hiburan atau relaksasi",Menghadiri acara budaya atau edukasi,Alat Musik & kesenian,Sangat Tidak Setuju,Tidak Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju
"Buku Anak; Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Toko Gramedia,"Menambah pengetahuan; Kado atau hadiah; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Belanja online/offline,Kesehatan dan Kecantikan; Mainan,Netral,Setuju,Sangat Setuju,Sangat Setuju
Mainan/Collectible item; Alat Olahraga,Website Gramedia.com,Untuk mengekspresikan kreativitas; Kado atau hadiah,"Bermain game (offline/online); Menulis (diari, blog, atau lainnya); Belanja online/offline",Alat Olahraga; Alat Tulis kantor atau sekolah,Sangat Setuju,Sangat Tidak Setuju,Sangat Setuju,Setuju
Novel Fiksi,"Marketplace (Shopee, Tokopedia, dll.)",Untuk mengekspresikan kreativitas,Travelling; Menghadiri acara budaya atau edukasi; Bermain musik,"Mainan; Buku fiksi (novel, komik, buku anak)",Netral,Tidak Setuju,Netral,Setuju
Mainan/Collectible item; Buku Anak,Toko buku independen lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Menulis (diari, blog, atau lainnya); Travelling; Menghadiri acara budaya atau edukasi","Buku non-fiksi (pengembangan diri, sejarah, agama)",Netral,Tidak Setuju,Tidak Setuju,Sangat Setuju
Alat Olahraga; Komik/Novel Grafis; Alat Musik,Toko buku independen lainnya,Kado atau hadiah,Melukis atau menggambar ,"Buku non-fiksi (pengembangan diri, sejarah, agama); Alat Olahraga; Alat Tulis kantor atau sekolah",Netral,Tidak Setuju,Netral,Tidak Setuju
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.); Alat Olahraga; Novel Fiksi",Toko alat tulis lainnya,Untuk mengekspresikan kreativitas,Melukis atau menggambar ,"Alat Olahraga; Buku Edukasi (Buku Teks, Latihan Soal, Kamus); Buku non-fiksi (pengembangan diri, sejarah, agama)",Netral,Netral,Tidak Setuju,Setuju
Alat Tulis Umum (Kantor/Sekolah),Toko Gramedia,Menambah pengetahuan; Untuk mengekspresikan kreativitas,Bermain game (offline/online),"Buku fiksi (novel, komik, buku anak); Alat Olahraga",Tidak Setuju,Sangat Tidak Setuju,Sangat Setuju,Tidak Setuju
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Aplikasi Gramedia Digital (ebook),Hiburan atau relaksasi; Menambah pengetahuan,Melukis atau menggambar ; Olahraga; Menghadiri acara budaya atau edukasi,"Buku Edukasi (Buku Teks, Latihan Soal, Kamus); Alat Tulis kantor atau sekolah",Sangat Tidak Setuju,Sangat Setuju,Setuju,Setuju
Komik/Novel Grafis; Jurnal/Perencana (Planner); Alat Tulis Umum (Kantor/Sekolah),"Marketplace (Shopee, Tokopedia, dll.)",Untuk mengekspresikan kreativitas; Hiburan atau relaksasi,Menghadiri acara budaya atau edukasi,"Buku non-fiksi (pengembangan diri, sejarah, agama); Buku fiksi (novel, komik, buku anak)",Sangat Tidak Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju,Tidak Setuju
Novel Fiksi,Toko buku independen lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Menulis (diari, blog, atau lainnya)","Mainan; Buku non-fiksi (pengembangan diri, sejarah, agama)",Setuju,Setuju,Tidak Setuju,Netral
"Perlengkapan Seni/Kreatif; Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.); Alat Musik",Toko Gramedia,Untuk mengekspresikan kreativitas; Hiburan atau relaksasi; Kado atau hadiah,Belanja online/offline; Melukis atau menggambar ; Menghadiri acara budaya atau edukasi,"Buku Edukasi (Buku Teks, Latihan Soal, Kamus); Kesehatan dan Kecantikan",Netral,Setuju,Sangat Setuju,Sangat Tidak Setuju
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus); Alat Tulis Umum (Kantor/Sekolah); Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Aplikasi Gramedia.com,Kado atau hadiah; Hiburan atau relaksasi; Menambah pengetahuan,Bermain game (offline/online); Menghadiri acara budaya atau edukasi,"Buku non-fiksi (pengembangan diri, sejarah, agama); Alat Tulis kantor atau sekolah; Buku fiksi (novel, komik, buku anak)",Netral,Sangat Tidak Setuju,Setuju,Sangat Tidak Setuju
Alat Musik,Toko buku independen lainnya,Hiburan atau relaksasi; Sebagai bentuk 'self-reward' atau apresiasi diri,Belanja online/offline; Bermain game (offline/online),"Kesehatan dan Kecantikan; Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Setuju,Sangat Tidak Setuju,Setuju,Sangat Setuju
Alat Olahraga,Toko buku independen lainnya,Kado atau hadiah,Bermain game (offline/online); Menghadiri acara budaya atau edukasi; Melukis atau menggambar ,Alat Tulis kantor atau sekolah; Alat Musik & kesenian,Setuju,Tidak Setuju,Tidak Setuju,Sangat Setuju
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Aplikasi Gramedia.com,"Kado atau hadiah; Hiburan atau relaksasi; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Bermain musik; Melukis atau menggambar ; Belanja online/offline,Mainan,Setuju,Setuju,Tidak Setuju,Sangat Tidak Setuju
Perlengkapan Seni/Kreatif; Buku Anak,Aplikasi Gramedia Digital (ebook),Menambah pengetahuan,Olahraga; Bermain game (offline/online); Melukis atau menggambar ,"Buku Edukasi (Buku Teks, Latihan Soal, Kamus); Buku non-fiksi (pengembangan diri, sejarah, agama); Alat Tulis kantor atau sekolah",Netral,Sangat Setuju,Sangat Setuju,Netral
Alat Musik,Aplikasi Gramedia Digital (ebook),"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Kado atau hadiah","Menulis (diari, blog, atau lainnya)",Alat Tulis kantor atau sekolah,Sangat Tidak Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju,Sangat Setuju
Mainan/Collectible item,Toko Gramedia,Untuk mengekspresikan kreativitas,"Menulis (diari, blog, atau lainnya); Olahraga; Membaca buku atau majalah ","Buku Edukasi (Buku Teks, Latihan Soal, Kamus); Alat Olahraga",Netral,Setuju,Sangat Tidak Setuju,Setuju
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus); Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.); Jurnal/Perencana (Planner)",Website Gramedia.com,Hiburan atau relaksasi; Kado atau hadiah,Menghadiri acara budaya atau edukasi,"Buku non-fiksi (pengembangan diri, sejarah, agama)",Setuju,Sangat Tidak Setuju,Netral,Setuju
"Novel Fiksi; Perlengkapan Kantor atau Sekolah; Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko buku independen lainnya,Hiburan atau relaksasi; Sebagai bentuk 'self-reward' atau apresiasi diri; Untuk mengekspresikan kreativitas,Bermain musik; Membaca buku atau majalah ,Mainan; Alat Musik & kesenian,Netral,Netral,Sangat Tidak Setuju,Netral
Perlengkapan Seni/Kreatif; Komik/Novel Grafis,Aplikasi Gramedia.com,"Untuk mengekspresikan kreativitas; Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Olahraga; Melukis atau menggambar ; Membaca buku atau majalah ,Alat Musik & kesenian,Sangat Tidak Setuju,Sangat Tidak Setuju,Netral,Sangat Tidak Setuju
"Alat Olahraga; Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus); Alat Musik",Toko buku independen lainnya,Hiburan atau relaksasi; Kado atau hadiah; Untuk mengekspresikan kreativitas,Travelling,"Alat Olahraga; Buku fiksi (novel, komik, buku anak); Kesehatan dan Kecantikan",Sangat Setuju,Setuju,Tidak Setuju,Sangat Setuju
Mainan/Collectible item; Alat Tulis Umum (Kantor/Sekolah); Komik/Novel Grafis,Toko buku independen lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Travelling; Menulis (diari, blog, atau lainnya); Olahraga","Alat Olahraga; Mainan; Buku non-fiksi (pengembangan diri, sejarah, agama)",Tidak Setuju,Sangat Setuju,Tidak Setuju,Sangat Tidak Setuju
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Toko buku independen lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Sebagai bentuk 'self-reward' atau apresiasi diri; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Bermain musik; Belanja online/offline; Menghadiri acara budaya atau edukasi,Mainan,Sangat Tidak Setuju,Netral,Setuju,Sangat Setuju
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Toko Gramedia,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Menghadiri acara budaya atau edukasi; Bermain game (offline/online); Travelling,"Alat Tulis kantor atau sekolah; Alat Musik & kesenian; Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Setuju,Tidak Setuju,Sangat Setuju,Tidak Setuju
Alat Olahraga; Alat Musik; Perlengkapan Seni/Kreatif,Toko alat tulis lainnya,"Untuk mengekspresikan kreativitas; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Sebagai bentuk 'self-reward' atau apresiasi diri",Travelling,"Buku non-fiksi (pengembangan diri, sejarah, agama)",Tidak Setuju,Netral,Netral,Setuju
"Perlengkapan Seni/Kreatif; Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Aplikasi Gramedia Digital (ebook),Hiburan atau relaksasi,"Belanja online/offline; Menulis (diari, blog, atau lainnya)",Mainan; Alat Musik & kesenian,Tidak Setuju,Setuju,Netral,Sangat Tidak Setuju
Buku Anak,Toko Gramedia,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Hiburan atau relaksasi",Menghadiri acara budaya atau edukasi; Melukis atau menggambar ,"Alat Olahraga; Buku non-fiksi (pengembangan diri, sejarah, agama)",Tidak Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju,Netral
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.); Komik/Novel Grafis; Jurnal/Perencana (Planner)",Toko alat tulis lainnya,Kado atau hadiah,Membaca buku atau majalah ,"Buku non-fiksi (pengembangan diri, sejarah, agama)",Netral,Sangat Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju
Perlengkapan Kantor atau Sekolah; Alat Olahraga; Buku Anak,Website Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Sebagai bentuk 'self-reward' atau apresiasi diri",Bermain game (offline/online),Mainan; Kesehatan dan Kecantikan,Tidak Setuju,Sangat Setuju,Netral,Tidak Setuju
Novel Fiksi; Mainan/Collectible item; Buku Anak,"Marketplace (Shopee, Tokopedia, dll.)","Sebagai bentuk 'self-reward' atau apresiasi diri; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Kado atau hadiah","Travelling; Bermain musik; Menulis (diari, blog, atau lainnya)","Buku fiksi (novel, komik, buku anak); Alat Musik & kesenian",Tidak Setuju,Sangat Setuju,Tidak Setuju,Sangat Tidak Setuju
Jurnal/Perencana (Planner),Aplikasi Gramedia.com,Untuk mengekspresikan kreativitas; Menambah pengetahuan; Hiburan atau relaksasi,Olahraga,Alat Olahraga,Setuju,Sangat Setuju,Tidak Setuju,Sangat Setuju
Jurnal/Perencana (Planner); Komik/Novel Grafis; Alat Musik,Aplikasi Gramedia.com,Kado atau hadiah; Sebagai bentuk 'self-reward' atau apresiasi diri,"Membaca buku atau majalah ; Menulis (diari, blog, atau lainnya)","Mainan; Buku fiksi (novel, komik, buku anak); Alat Tulis kantor atau sekolah",Tidak Setuju,Netral,Tidak Setuju,Netral
Mainan/Collectible item; Novel Fiksi,"Marketplace (Shopee, Tokopedia, dll.)",Menambah pengetahuan; Hiburan atau relaksasi,Melukis atau menggambar ,Alat Musik & kesenian; Kesehatan dan Kecantikan; Alat Olahraga,Sangat Tidak Setuju,Sangat Setuju,Sangat Tidak Setuju,Sangat Setuju
Alat Tulis Umum (Kantor/Sekolah),"Marketplace (Shopee, Tokopedia, dll.)","Hiburan atau relaksasi; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Menambah pengetahuan",Melukis atau menggambar ; Bermain musik,Alat Musik & kesenian,Netral,Tidak Setuju,Sangat Tidak Setuju,Tidak Setuju
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.); Komik/Novel Grafis","Marketplace (Shopee, Tokopedia, dll.)",Menambah pengetahuan,Membaca buku atau majalah ; Bermain musik,Mainan; Alat Olahraga; Alat Musik & kesenian,Setuju,Sangat Tidak Setuju,Sangat Setuju,Sangat Setuju
Mainan/Collectible item; Perlengkapan Kantor atau Sekolah,Toko alat tulis lainnya,Hiburan atau relaksasi; Untuk mengekspresikan kreativitas,Travelling,"Alat Musik & kesenian; Alat Olahraga; Buku fiksi (novel, komik, buku anak)",Netral,Sangat Setuju,Setuju,Sangat Setuju
Jurnal/Perencana (Planner),Toko alat tulis lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Kado atau hadiah; Sebagai bentuk 'self-reward' atau apresiasi diri",Menghadiri acara budaya atau edukasi; Bermain game (offline/online),"Buku fiksi (novel, komik, buku anak); Alat Musik & kesenian; Mainan",Setuju,Netral,Netral,Tidak Setuju
Perlengkapan Seni/Kreatif,Website Gramedia.com,"Menambah pengetahuan; Hiburan atau relaksasi; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Belanja online/offline; Membaca buku atau majalah ,"Buku fiksi (novel, komik, buku anak); Alat Olahraga; Alat Musik & kesenian",Sangat Setuju,Sangat Tidak Setuju,Sangat Setuju,Setuju
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus); Alat Musik",Toko buku independen lainnya,"Sebagai bentuk 'self-reward' atau apresiasi diri; Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Hiburan atau relaksasi",Membaca buku atau majalah ; Menghadiri acara budaya atau edukasi; Olahraga,Alat Tulis kantor atau sekolah; Mainan; Alat Olahraga,Setuju,Netral,Setuju,Setuju
Alat Musik; Perlengkapan Seni/Kreatif; Jurnal/Perencana (Planner),Toko alat tulis lainnya,Kado atau hadiah; Sebagai bentuk 'self-reward' atau apresiasi diri; Hiburan atau relaksasi,Belanja online/offline; Menghadiri acara budaya atau edukasi; Membaca buku atau majalah ,Alat Olahraga; Alat Musik & kesenian; Kesehatan dan Kecantikan,Setuju,Sangat Tidak Setuju,Tidak Setuju,Tidak Setuju
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus); Alat Tulis Umum (Kantor/Sekolah); Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Toko Gramedia,Hiburan atau relaksasi,Bermain musik; Belanja online/offline; Travelling,"Buku fiksi (novel, komik, buku anak); Kesehatan dan Kecantikan",Sangat Tidak Setuju,Tidak Setuju,Tidak Setuju,Netral
Perlengkapan Kantor atau Sekolah,Aplikasi Gramedia.com,Sebagai bentuk 'self-reward' atau apresiasi diri,Olahraga,"Alat Musik & kesenian; Buku fiksi (novel, komik, buku anak); Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Setuju,Tidak Setuju,Tidak Setuju,Tidak Setuju
