Produk sering beli,Saluran belanja,Motivasi utama pembelian
"Buku Anak, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Alat Olahraga",Aplikasi Gramedia Digital (ebook),"Hiburan atau relaksasi, Menambah pengetahuan, Kado atau hadiah"
"Jurnal/Perencana (Planner), Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Alat Olahraga",Website Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kado atau hadiah"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Perlengkapan Kantor atau Sekolah, Mainan/Collectible item",Toko buku independen lainnya,Kado atau hadiah
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Website Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Untuk mengekspresikan kreativitas"
"Perlengkapan Kantor atau Sekolah, Alat Olahraga, Perlengkapan Seni/Kreatif",Toko buku independen lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Novel Fiksi, Alat Olahraga, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Aplikasi Gramedia.com,Untuk mengekspresikan kreativitas
Mainan/Collectible item,Website Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Menambah pengetahuan"
"Buku Anak, Mainan/Collectible item, Komik/Novel Grafis",Toko alat tulis lainnya,Untuk mengekspresikan kreativitas
"Alat Musik, Perlengkapan Kantor atau Sekolah, Novel Fiksi",Aplikasi Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Mainan/Collectible item, Jurnal/Perencana (Planner)",Toko Gramedia,"Menambah pengetahuan, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Untuk mengekspresikan kreativitas"
"Mainan/Collectible item, Buku Anak",Toko buku independen lainnya,"Sebagai bentuk 'self-reward' atau apresiasi diri, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Hiburan atau relaksasi"
"Komik/Novel Grafis, Mainan/Collectible item",Aplikasi Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Hiburan atau relaksasi, Sebagai bentuk 'self-reward' atau apresiasi diri"
"Buku Anak, Alat Tulis Umum (Kantor/Sekolah)",Aplikasi Gramedia.com,"Kado atau hadiah, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
Alat Olahraga,Toko Gramedia,"Hiburan atau relaksasi, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Aplikasi Gramedia.com,"Hiburan atau relaksasi, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Alat Musik, Alat Tulis Umum (Kantor/Sekolah)",Toko buku independen lainnya,"Sebagai bentuk 'self-reward' atau apresiasi diri, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Untuk mengekspresikan kreativitas"
"Komik/Novel Grafis, Perlengkapan Seni/Kreatif",Toko buku independen lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Perlengkapan Seni/Kreatif, Mainan/Collectible item",Website Gramedia.com,Kado atau hadiah
"Perlengkapan Seni/Kreatif, Alat Musik, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko Gramedia,Kado atau hadiah
"Jurnal/Perencana (Planner), Alat Olahraga",Aplikasi Gramedia Digital (ebook),"Hiburan atau relaksasi, Menambah pengetahuan, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
Perlengkapan Seni/Kreatif,Toko buku independen lainnya,Kado atau hadiah
Alat Tulis Umum (Kantor/Sekolah),Aplikasi Gramedia.com,"Sebagai bentuk 'self-reward' atau apresiasi diri, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
Buku Anak,Toko buku independen lainnya,Hiburan atau relaksasi
"Komik/Novel Grafis, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko buku independen lainnya,"Hiburan atau relaksasi, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Menambah pengetahuan"
Novel Fiksi,Toko alat tulis lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Alat Musik, Perlengkapan Kantor atau Sekolah",Website Gramedia.com,"Hiburan atau relaksasi, Untuk mengekspresikan kreativitas"
"Komik/Novel Grafis, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Aplikasi Gramedia Digital (ebook),"Kado atau hadiah, Untuk mengekspresikan kreativitas, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Perlengkapan Kantor atau Sekolah, Perlengkapan Seni/Kreatif",Toko buku independen lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Sebagai bentuk 'self-reward' atau apresiasi diri"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko Gramedia,"Sebagai bentuk 'self-reward' atau apresiasi diri, Kado atau hadiah, Menambah pengetahuan"
"Jurnal/Perencana (Planner), Alat Tulis Umum (Kantor/Sekolah)",Toko buku independen lainnya,"Menambah pengetahuan, Untuk mengekspresikan kreativitas"
"Buku Anak, Alat Tulis Umum (Kantor/Sekolah)",Toko Gramedia,Menambah pengetahuan
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Toko Gramedia,Sebagai bentuk 'self-reward' atau apresiasi diri
"Jurnal/Perencana (Planner), Alat Tulis Umum (Kantor/Sekolah)",Website Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Untuk mengekspresikan kreativitas"
Komik/Novel Grafis,Aplikasi Gramedia Digital (ebook),"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Perlengkapan Seni/Kreatif, Novel Fiksi, Mainan/Collectible item",Toko Gramedia,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Sebagai bentuk 'self-reward' atau apresiasi diri, Untuk mengekspresikan kreativitas"
"Alat Tulis Umum (Kantor/Sekolah), Perlengkapan Kantor atau Sekolah",Website Gramedia.com,"Kado atau hadiah, Sebagai bentuk 'self-reward' atau apresiasi diri"
"Mainan/Collectible item, Alat Tulis Umum (Kantor/Sekolah), Buku Anak","Marketplace (Shopee, Tokopedia, dll.)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Menambah pengetahuan"
"Novel Fiksi, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Alat Musik",Website Gramedia.com,"Menambah pengetahuan, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
Buku Anak,"Marketplace (Shopee, Tokopedia, dll.)","Kado atau hadiah, Hiburan atau relaksasi, Sebagai bentuk 'self-reward' atau apresiasi diri"
"Perlengkapan Seni/Kreatif, Alat Musik, Alat Olahraga",Toko buku independen lainnya,"Untuk mengekspresikan kreativitas, Sebagai bentuk 'self-reward' atau apresiasi diri, Kado atau hadiah"
Alat Musik,Aplikasi Gramedia Digital (ebook),Sebagai bentuk 'self-reward' atau apresiasi diri
Perlengkapan Kantor atau Sekolah,Toko Gramedia,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Sebagai bentuk 'self-reward' atau apresiasi diri"
"Komik/Novel Grafis, Perlengkapan Seni/Kreatif, Jurnal/Perencana (Planner)",Toko Gramedia,"Kado atau hadiah, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Untuk mengekspresikan kreativitas"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Alat Musik",Toko buku independen lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Alat Tulis Umum (Kantor/Sekolah), Jurnal/Perencana (Planner), Buku Anak",Aplikasi Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Hiburan atau relaksasi"
"Mainan/Collectible item, Perlengkapan Kantor atau Sekolah, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Toko alat tulis lainnya,Untuk mengekspresikan kreativitas
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Toko Gramedia,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Untuk mengekspresikan kreativitas"
"Perlengkapan Seni/Kreatif, Alat Olahraga",Toko alat tulis lainnya,"Kado atau hadiah, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Menambah pengetahuan"
"Perlengkapan Seni/Kreatif, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Komik/Novel Grafis",Aplikasi Gramedia Digital (ebook),Hiburan atau relaksasi
"Jurnal/Perencana (Planner), Alat Musik, Alat Olahraga",Toko buku independen lainnya,"Hiburan atau relaksasi, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
Novel Fiksi,Website Gramedia.com,"Untuk mengekspresikan kreativitas, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Aplikasi Gramedia Digital (ebook),"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Kado atau hadiah, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Perlengkapan Seni/Kreatif, Alat Tulis Umum (Kantor/Sekolah), Jurnal/Perencana (Planner)",Toko Gramedia,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Perlengkapan Kantor atau Sekolah",Website Gramedia.com,"Kado atau hadiah, Sebagai bentuk 'self-reward' atau apresiasi diri, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Perlengkapan Seni/Kreatif, Perlengkapan Kantor atau Sekolah",Aplikasi Gramedia Digital (ebook),"Hiburan atau relaksasi, Sebagai bentuk 'self-reward' atau apresiasi diri"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Alat Musik",Toko Gramedia,Hiburan atau relaksasi
"Alat Olahraga, Buku Anak, Perlengkapan Kantor atau Sekolah",Toko buku independen lainnya,"Hiburan atau relaksasi, Untuk mengekspresikan kreativitas, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Jurnal/Perencana (Planner), Alat Olahraga",Toko alat tulis lainnya,"Untuk mengekspresikan kreativitas, Sebagai bentuk 'self-reward' atau apresiasi diri, Menambah pengetahuan"
"Alat Tulis Umum (Kantor/Sekolah), Perlengkapan Kantor atau Sekolah, Buku Anak",Toko Gramedia,Hiburan atau relaksasi
"Novel Fiksi, Perlengkapan Seni/Kreatif",Toko Gramedia,"Menambah pengetahuan, Sebagai bentuk 'self-reward' atau apresiasi diri"
"Mainan/Collectible item, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Aplikasi Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Perlengkapan Kantor atau Sekolah, Buku Anak",Aplikasi Gramedia.com,"Menambah pengetahuan, Sebagai bentuk 'self-reward' atau apresiasi diri, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Alat Olahraga, Mainan/Collectible item, Novel Fiksi",Aplikasi Gramedia.com,"Sebagai bentuk 'self-reward' atau apresiasi diri, Menambah pengetahuan, Untuk mengekspresikan kreativitas"
"Alat Tulis Umum (Kantor/Sekolah), Buku Anak, Perlengkapan Kantor atau Sekolah",Website Gramedia.com,"Kado atau hadiah, Hiburan atau relaksasi"
"Komik/Novel Grafis, Novel Fiksi, Perlengkapan Kantor atau Sekolah",Aplikasi Gramedia Digital (ebook),Untuk mengekspresikan kreativitas
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Jurnal/Perencana (Planner)",Toko alat tulis lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Hiburan atau relaksasi"
"Alat Olahraga, Perlengkapan Kantor atau Sekolah, Alat Musik",Toko alat tulis lainnya,Untuk mengekspresikan kreativitas
Mainan/Collectible item,Toko alat tulis lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Untuk mengekspresikan kreativitas"
Novel Fiksi,Toko alat tulis lainnya,Hiburan atau relaksasi
"Alat Olahraga, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Komik/Novel Grafis",Website Gramedia.com,"Sebagai bentuk 'self-reward' atau apresiasi diri, Hiburan atau relaksasi, Menambah pengetahuan"
Alat Tulis Umum (Kantor/Sekolah),Toko buku independen lainnya,Untuk mengekspresikan kreativitas
"Alat Musik, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko buku independen lainnya,"Sebagai bentuk 'self-reward' atau apresiasi diri, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Alat Olahraga, Komik/Novel Grafis",Website Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kado atau hadiah"
"Jurnal/Perencana (Planner), Perlengkapan Kantor atau Sekolah",Toko Gramedia,"Kado atau hadiah, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Alat Olahraga, Novel Fiksi","Marketplace (Shopee, Tokopedia, dll.)",Untuk mengekspresikan kreativitas
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Jurnal/Perencana (Planner), Komik/Novel Grafis","Marketplace (Shopee, Tokopedia, dll.)","Hiburan atau relaksasi, Kado atau hadiah, Untuk mengekspresikan kreativitas"
"Perlengkapan Seni/Kreatif, Mainan/Collectible item, Alat Tulis Umum (Kantor/Sekolah)",Toko Gramedia,"Untuk mengekspresikan kreativitas, Sebagai bentuk 'self-reward' atau apresiasi diri"
"Alat Musik, Perlengkapan Seni/Kreatif, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)","Marketplace (Shopee, Tokopedia, dll.)","Kado atau hadiah, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Sebagai bentuk 'self-reward' atau apresiasi diri"
"Jurnal/Perencana (Planner), Perlengkapan Seni/Kreatif",Toko buku independen lainnya,"Untuk mengekspresikan kreativitas, Kado atau hadiah, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Perlengkapan Seni/Kreatif, Mainan/Collectible item, Buku Anak",Website Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kado atau hadiah"
"Alat Tulis Umum (Kantor/Sekolah), Komik/Novel Grafis, Mainan/Collectible item",Aplikasi Gramedia Digital (ebook),Sebagai bentuk 'self-reward' atau apresiasi diri
"Jurnal/Perencana (Planner), Buku Anak",Aplikasi Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
Buku Anak,Toko buku independen lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Alat Olahraga, Komik/Novel Grafis",Website Gramedia.com,"Hiburan atau relaksasi, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Alat Olahraga, Alat Tulis Umum (Kantor/Sekolah), Perlengkapan Seni/Kreatif",Toko buku independen lainnya,Menambah pengetahuan
"Perlengkapan Seni/Kreatif, Jurnal/Perencana (Planner)",Toko buku independen lainnya,"Sebagai bentuk 'self-reward' atau apresiasi diri, Hiburan atau relaksasi, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Buku Anak, Alat Olahraga, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Website Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kado atau hadiah"
"Mainan/Collectible item, Jurnal/Perencana (Planner), Alat Musik",Aplikasi Gramedia Digital (ebook),Untuk mengekspresikan kreativitas
"Perlengkapan Seni/Kreatif, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)","Marketplace (Shopee, Tokopedia, dll.)","Sebagai bentuk 'self-reward' atau apresiasi diri, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Novel Fiksi, Buku Anak",Toko buku independen lainnya,"Menambah pengetahuan, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Perlengkapan Seni/Kreatif, Alat Tulis Umum (Kantor/Sekolah)",Aplikasi Gramedia Digital (ebook),"Kado atau hadiah, Hiburan atau relaksasi"
"Buku Anak, Alat Tulis Umum (Kantor/Sekolah), Komik/Novel Grafis",Toko alat tulis lainnya,Kado atau hadiah
Jurnal/Perencana (Planner),Website Gramedia.com,"Hiburan atau relaksasi, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Jurnal/Perencana (Planner), Buku Anak",Toko Gramedia,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Sebagai bentuk 'self-reward' atau apresiasi diri, Hiburan atau relaksasi"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Toko Gramedia,Untuk mengekspresikan kreativitas
"Alat Olahraga, Perlengkapan Kantor atau Sekolah, Komik/Novel Grafis",Website Gramedia.com,"Untuk mengekspresikan kreativitas, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Sebagai bentuk 'self-reward' atau apresiasi diri"
Novel Fiksi,Toko alat tulis lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Jurnal/Perencana (Planner), Komik/Novel Grafis, Mainan/Collectible item",Toko Gramedia,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)","Marketplace (Shopee, Tokopedia, dll.)","Hiburan atau relaksasi, Kado atau hadiah, Untuk mengekspresikan kreativitas"
"Perlengkapan Seni/Kreatif, Alat Tulis Umum (Kantor/Sekolah)",Toko buku independen lainnya,"Untuk mengekspresikan kreativitas, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Sebagai bentuk 'self-reward' atau apresiasi diri"
Mainan/Collectible item,Aplikasi Gramedia Digital (ebook),"Untuk mengekspresikan kreativitas, Kado atau hadiah, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
Novel Fiksi,Aplikasi Gramedia.com,"Hiburan atau relaksasi, Menambah pengetahuan"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Alat Musik, Alat Tulis Umum (Kantor/Sekolah)",Aplikasi Gramedia Digital (ebook),Hiburan atau relaksasi
"Mainan/Collectible item, Komik/Novel Grafis",Aplikasi Gramedia.com,"Menambah pengetahuan, Untuk mengekspresikan kreativitas"
"Perlengkapan Seni/Kreatif, Buku Anak",Toko alat tulis lainnya,"Kado atau hadiah, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Novel Fiksi, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Perlengkapan Kantor atau Sekolah",Website Gramedia.com,"Untuk mengekspresikan kreativitas, Kado atau hadiah"
Jurnal/Perencana (Planner),Website Gramedia.com,"Hiburan atau relaksasi, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Alat Olahraga, Novel Fiksi, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Aplikasi Gramedia.com,Hiburan atau relaksasi
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Novel Fiksi",Toko buku independen lainnya,Kado atau hadiah
"Alat Tulis Umum (Kantor/Sekolah), Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko Gramedia,Hiburan atau relaksasi
"Buku Anak, Novel Fiksi, Mainan/Collectible item",Website Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Perlengkapan Kantor atau Sekolah, Alat Olahraga","Marketplace (Shopee, Tokopedia, dll.)","Hiburan atau relaksasi, Untuk mengekspresikan kreativitas"
Perlengkapan Seni/Kreatif,"Marketplace (Shopee, Tokopedia, dll.)","Untuk mengekspresikan kreativitas, Menambah pengetahuan"
"Alat Tulis Umum (Kantor/Sekolah), Mainan/Collectible item","Marketplace (Shopee, Tokopedia, dll.)",Menambah pengetahuan
"Jurnal/Perencana (Planner), Alat Tulis Umum (Kantor/Sekolah), Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko buku independen lainnya,Menambah pengetahuan
"Alat Tulis Umum (Kantor/Sekolah), Buku Anak, Komik/Novel Grafis","Marketplace (Shopee, Tokopedia, dll.)","Hiburan atau relaksasi, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
Perlengkapan Seni/Kreatif,Aplikasi Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
Alat Olahraga,Toko alat tulis lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Untuk mengekspresikan kreativitas"
"Mainan/Collectible item, Buku Anak",Toko buku independen lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Novel Fiksi, Perlengkapan Seni/Kreatif",Toko Gramedia,Sebagai bentuk 'self-reward' atau apresiasi diri
"Perlengkapan Kantor atau Sekolah, Mainan/Collectible item",Toko alat tulis lainnya,Menambah pengetahuan
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko alat tulis lainnya,"Sebagai bentuk 'self-reward' atau apresiasi diri, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Mainan/Collectible item, Alat Musik, Alat Olahraga",Toko buku independen lainnya,Kado atau hadiah
"Perlengkapan Seni/Kreatif, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Alat Musik",Aplikasi Gramedia.com,"Hiburan atau relaksasi, Sebagai bentuk 'self-reward' atau apresiasi diri"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Mainan/Collectible item",Website Gramedia.com,"Sebagai bentuk 'self-reward' atau apresiasi diri, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Perlengkapan Seni/Kreatif, Komik/Novel Grafis","Marketplace (Shopee, Tokopedia, dll.)",Menambah pengetahuan
Buku Anak,"Marketplace (Shopee, Tokopedia, dll.)","Hiburan atau relaksasi, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Untuk mengekspresikan kreativitas"
"Komik/Novel Grafis, Alat Tulis Umum (Kantor/Sekolah)","Marketplace (Shopee, Tokopedia, dll.)",Untuk mengekspresikan kreativitas
"Perlengkapan Seni/Kreatif, Buku Anak",Website Gramedia.com,Hiburan atau relaksasi
"Alat Olahraga, Perlengkapan Kantor atau Sekolah, Novel Fiksi",Toko buku independen lainnya,"Untuk mengekspresikan kreativitas, Menambah pengetahuan"
"Mainan/Collectible item, Perlengkapan Seni/Kreatif",Aplikasi Gramedia Digital (ebook),"Untuk mengekspresikan kreativitas, Hiburan atau relaksasi, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Komik/Novel Grafis, Novel Fiksi, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Aplikasi Gramedia.com,"Untuk mengekspresikan kreativitas, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Buku Anak, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko buku independen lainnya,"Hiburan atau relaksasi, Untuk mengekspresikan kreativitas"
"Mainan/Collectible item, Jurnal/Perencana (Planner)",Toko Gramedia,"Menambah pengetahuan, Untuk mengekspresikan kreativitas, Kado atau hadiah"
"Buku Anak, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Alat Olahraga",Toko alat tulis lainnya,"Menambah pengetahuan, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Perlengkapan Kantor atau Sekolah, Komik/Novel Grafis",Toko alat tulis lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Hiburan atau relaksasi, Sebagai bentuk 'self-reward' atau apresiasi diri"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Website Gramedia.com,Sebagai bentuk 'self-reward' atau apresiasi diri
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Alat Tulis Umum (Kantor/Sekolah)",Aplikasi Gramedia Digital (ebook),"Hiburan atau relaksasi, Menambah pengetahuan, Sebagai bentuk 'self-reward' atau apresiasi diri"
"Perlengkapan Kantor atau Sekolah, Perlengkapan Seni/Kreatif, Alat Musik",Aplikasi Gramedia Digital (ebook),"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Menambah pengetahuan"
"Jurnal/Perencana (Planner), Alat Tulis Umum (Kantor/Sekolah), Alat Olahraga",Toko Gramedia,Sebagai bentuk 'self-reward' atau apresiasi diri
"Komik/Novel Grafis, Alat Olahraga, Perlengkapan Kantor atau Sekolah",Website Gramedia.com,"Kado atau hadiah, Menambah pengetahuan"
Jurnal/Perencana (Planner),Aplikasi Gramedia Digital (ebook),"Sebagai bentuk 'self-reward' atau apresiasi diri, Hiburan atau relaksasi"
"Jurnal/Perencana (Planner), Perlengkapan Seni/Kreatif",Toko buku independen lainnya,Menambah pengetahuan
Perlengkapan Kantor atau Sekolah,"Marketplace (Shopee, Tokopedia, dll.)","Sebagai bentuk 'self-reward' atau apresiasi diri, Untuk mengekspresikan kreativitas, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
Novel Fiksi,Toko Gramedia,"Kado atau hadiah, Hiburan atau relaksasi, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Jurnal/Perencana (Planner), Komik/Novel Grafis, Perlengkapan Kantor atau Sekolah","Marketplace (Shopee, Tokopedia, dll.)",Hiburan atau relaksasi
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Alat Olahraga, Perlengkapan Seni/Kreatif",Toko Gramedia,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Alat Tulis Umum (Kantor/Sekolah), Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Komik/Novel Grafis",Aplikasi Gramedia.com,Untuk mengekspresikan kreativitas
"Perlengkapan Kantor atau Sekolah, Alat Tulis Umum (Kantor/Sekolah), Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Aplikasi Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Untuk mengekspresikan kreativitas, Menambah pengetahuan"
"Alat Tulis Umum (Kantor/Sekolah), Novel Fiksi, Alat Olahraga",Website Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
Jurnal/Perencana (Planner),Aplikasi Gramedia Digital (ebook),"Hiburan atau relaksasi, Untuk mengekspresikan kreativitas, Kado atau hadiah"
"Alat Tulis Umum (Kantor/Sekolah), Perlengkapan Kantor atau Sekolah",Toko alat tulis lainnya,Hiburan atau relaksasi
