Produk sering beli,Motivasi utama pembelian
Novel Fiksi,"Menambah pengetahuan, Sebagai bentuk 'self-reward' atau apresiasi diri"
"Jurnal/Perencana (Planner), Komik/Novel Grafis, Perlengkapan Kantor atau Sekolah","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Menambah pengetahuan, Kado atau hadiah"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Alat Olahraga, Perlengkapan Seni/Kreatif","Sebagai bentuk 'self-reward' atau apresiasi diri, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Untuk mengekspresikan kreativitas"
"Alat Tulis Umum (Kantor/Sekolah), Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Komik/Novel Grafis","Kado atau hadiah, Sebagai bentuk 'self-reward' atau apresiasi diri, Hiburan atau relaksasi"
"Perlengkapan Kantor atau Sekolah, Alat Tulis Umum (Kantor/Sekolah), Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)","Untuk mengekspresikan kreativitas, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Alat Tulis Umum (Kantor/Sekolah), Novel Fiksi, Alat Olahraga","Kado atau hadiah, Untuk mengekspresikan kreativitas"
Jurnal/Perencana (Planner),Kado atau hadiah
"Alat Tulis Umum (Kantor/Sekolah), Perlengkapan Kantor atau Sekolah","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Hiburan atau relaksasi"
Jurnal/Perencana (Planner),"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Untuk mengekspresikan kreativitas"
"Mainan/Collectible item, Buku Anak","Sebagai bentuk 'self-reward' atau apresiasi diri, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Novel Fiksi, Alat Musik, Buku Anak","Menambah pengetahuan, Kado atau hadiah, Hiburan atau relaksasi"
Alat Olahraga,"Hiburan atau relaksasi, Sebagai bentuk 'self-reward' atau apresiasi diri"
Perlengkapan Kantor atau Sekolah,Kado atau hadiah
Novel Fiksi,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Hiburan atau relaksasi, Untuk mengekspresikan kreativitas"
"Perlengkapan Seni/Kreatif, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Hiburan atau relaksasi
"Novel Fiksi, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Alat Tulis Umum (Kantor/Sekolah)","Kado atau hadiah, Untuk mengekspresikan kreativitas"
Buku Anak,Untuk mengekspresikan kreativitas
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Alat Olahraga","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Alat Olahraga, Mainan/Collectible item, Alat Musik","Untuk mengekspresikan kreativitas, Menambah pengetahuan"
"Alat Musik, Alat Tulis Umum (Kantor/Sekolah)","Untuk mengekspresikan kreativitas, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Alat Musik, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)","Hiburan atau relaksasi, Kado atau hadiah"
"Mainan/Collectible item, Jurnal/Perencana (Planner), Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Untuk mengekspresikan kreativitas
"Perlengkapan Seni/Kreatif, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)","Menambah pengetahuan, Hiburan atau relaksasi"
"Alat Musik, Jurnal/Perencana (Planner), Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Hiburan atau relaksasi
"Komik/Novel Grafis, Novel Fiksi, Mainan/Collectible item","Kado atau hadiah, Hiburan atau relaksasi, Untuk mengekspresikan kreativitas"
"Alat Tulis Umum (Kantor/Sekolah), Mainan/Collectible item","Kado atau hadiah, Menambah pengetahuan, Sebagai bentuk 'self-reward' atau apresiasi diri"
"Jurnal/Perencana (Planner), Alat Musik, Alat Olahraga",Menambah pengetahuan
"Komik/Novel Grafis, Alat Olahraga","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Perlengkapan Seni/Kreatif, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Kado atau hadiah
"Komik/Novel Grafis, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)","Kado atau hadiah, Sebagai bentuk 'self-reward' atau apresiasi diri"
Mainan/Collectible item,"Menambah pengetahuan, Untuk mengekspresikan kreativitas, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Perlengkapan Kantor atau Sekolah, Novel Fiksi",Hiburan atau relaksasi
Komik/Novel Grafis,"Kado atau hadiah, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)","Hiburan atau relaksasi, Sebagai bentuk 'self-reward' atau apresiasi diri"
"Novel Fiksi, Alat Tulis Umum (Kantor/Sekolah), Perlengkapan Kantor atau Sekolah","Kado atau hadiah, Hiburan atau relaksasi"
"Alat Olahraga, Novel Fiksi, Komik/Novel Grafis","Sebagai bentuk 'self-reward' atau apresiasi diri, Hiburan atau relaksasi, Kado atau hadiah"
"Novel Fiksi, Alat Musik, Alat Tulis Umum (Kantor/Sekolah)","Kado atau hadiah, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Hiburan atau relaksasi"
Jurnal/Perencana (Planner),"Untuk mengekspresikan kreativitas, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
Novel Fiksi,"Kado atau hadiah, Menambah pengetahuan, Hiburan atau relaksasi"
Jurnal/Perencana (Planner),"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Hiburan atau relaksasi"
"Komik/Novel Grafis, Perlengkapan Kantor atau Sekolah",Menambah pengetahuan
"Perlengkapan Kantor atau Sekolah, Alat Olahraga",Kado atau hadiah
"Perlengkapan Seni/Kreatif, Komik/Novel Grafis, Buku Anak","Untuk mengekspresikan kreativitas, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Hiburan atau relaksasi"
Mainan/Collectible item,"Menambah pengetahuan, Hiburan atau relaksasi, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Komik/Novel Grafis, Alat Musik, Buku Anak","Kado atau hadiah, Menambah pengetahuan, Sebagai bentuk 'self-reward' atau apresiasi diri"
"Novel Fiksi, Jurnal/Perencana (Planner)","Sebagai bentuk 'self-reward' atau apresiasi diri, Menambah pengetahuan, Untuk mengekspresikan kreativitas"
"Alat Olahraga, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Alat Musik","Untuk mengekspresikan kreativitas, Hiburan atau relaksasi"
"Alat Tulis Umum (Kantor/Sekolah), Novel Fiksi, Perlengkapan Seni/Kreatif","Kado atau hadiah, Menambah pengetahuan, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Mainan/Collectible item, Alat Musik, Jurnal/Perencana (Planner)","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Menambah pengetahuan"
"Alat Olahraga, Alat Musik","Kado atau hadiah, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Hiburan atau relaksasi"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Buku Anak","Sebagai bentuk 'self-reward' atau apresiasi diri, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Jurnal/Perencana (Planner)","Kado atau hadiah, Untuk mengekspresikan kreativitas"
"Komik/Novel Grafis, Alat Olahraga","Kado atau hadiah, Menambah pengetahuan, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Alat Olahraga, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Novel Fiksi, Jurnal/Perencana (Planner)","Sebagai bentuk 'self-reward' atau apresiasi diri, Hiburan atau relaksasi"
"Alat Musik, Jurnal/Perencana (Planner)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Alat Musik, Komik/Novel Grafis","Kado atau hadiah, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Komik/Novel Grafis, Perlengkapan Seni/Kreatif",Menambah pengetahuan
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Alat Tulis Umum (Kantor/Sekolah), Perlengkapan Seni/Kreatif","Untuk mengekspresikan kreativitas, Menambah pengetahuan, Kado atau hadiah"
Jurnal/Perencana (Planner),"Menambah pengetahuan, Kado atau hadiah, Sebagai bentuk 'self-reward' atau apresiasi diri"
"Komik/Novel Grafis, Novel Fiksi, Buku Anak","Untuk mengekspresikan kreativitas, Hiburan atau relaksasi"
"Mainan/Collectible item, Perlengkapan Kantor atau Sekolah","Sebagai bentuk 'self-reward' atau apresiasi diri, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Novel Fiksi, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Komik/Novel Grafis","Menambah pengetahuan, Hiburan atau relaksasi"
"Alat Olahraga, Mainan/Collectible item, Jurnal/Perencana (Planner)","Untuk mengekspresikan kreativitas, Kado atau hadiah"
Alat Tulis Umum (Kantor/Sekolah),"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Kado atau hadiah"
Perlengkapan Seni/Kreatif,"Kado atau hadiah, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Novel Fiksi, Komik/Novel Grafis","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Untuk mengekspresikan kreativitas, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
Alat Olahraga,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
Alat Olahraga,"Sebagai bentuk 'self-reward' atau apresiasi diri, Kado atau hadiah, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Komik/Novel Grafis, Perlengkapan Kantor atau Sekolah","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Komik/Novel Grafis, Alat Musik, Alat Olahraga","Kado atau hadiah, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Perlengkapan Seni/Kreatif, Buku Anak, Alat Musik","Kado atau hadiah, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Jurnal/Perencana (Planner), Mainan/Collectible item","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Untuk mengekspresikan kreativitas, Hiburan atau relaksasi"
"Buku Anak, Alat Olahraga","Menambah pengetahuan, Untuk mengekspresikan kreativitas, Hiburan atau relaksasi"
"Jurnal/Perencana (Planner), Alat Tulis Umum (Kantor/Sekolah)","Sebagai bentuk 'self-reward' atau apresiasi diri, Untuk mengekspresikan kreativitas"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Alat Tulis Umum (Kantor/Sekolah)",Menambah pengetahuan
"Komik/Novel Grafis, Perlengkapan Seni/Kreatif",Kado atau hadiah
"Alat Musik, Novel Fiksi","Sebagai bentuk 'self-reward' atau apresiasi diri, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Komik/Novel Grafis, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Novel Fiksi","Kado atau hadiah, Untuk mengekspresikan kreativitas, Menambah pengetahuan"
"Jurnal/Perencana (Planner), Perlengkapan Kantor atau Sekolah","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Alat Olahraga, Alat Musik, Buku Anak","Menambah pengetahuan, Sebagai bentuk 'self-reward' atau apresiasi diri, Hiburan atau relaksasi"
Komik/Novel Grafis,"Kado atau hadiah, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Komik/Novel Grafis, Alat Musik",Menambah pengetahuan
"Komik/Novel Grafis, Alat Tulis Umum (Kantor/Sekolah), Jurnal/Perencana (Planner)","Hiburan atau relaksasi, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Mainan/Collectible item, Perlengkapan Seni/Kreatif, Buku Anak",Kado atau hadiah
"Alat Olahraga, Mainan/Collectible item",Untuk mengekspresikan kreativitas
"Alat Tulis Umum (Kantor/Sekolah), Alat Olahraga, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kado atau hadiah"
"Perlengkapan Seni/Kreatif, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Mainan/Collectible item","Kado atau hadiah, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Sebagai bentuk 'self-reward' atau apresiasi diri"
"Jurnal/Perencana (Planner), Alat Tulis Umum (Kantor/Sekolah), Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Sebagai bentuk 'self-reward' atau apresiasi diri
"Mainan/Collectible item, Novel Fiksi, Jurnal/Perencana (Planner)",Untuk mengekspresikan kreativitas
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Menambah pengetahuan"
"Novel Fiksi, Alat Olahraga, Alat Musik",Sebagai bentuk 'self-reward' atau apresiasi diri
Mainan/Collectible item,"Sebagai bentuk 'self-reward' atau apresiasi diri, Kado atau hadiah, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Menambah pengetahuan
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Novel Fiksi, Komik/Novel Grafis","Kado atau hadiah, Sebagai bentuk 'self-reward' atau apresiasi diri, Hiburan atau relaksasi"
"Alat Tulis Umum (Kantor/Sekolah), Perlengkapan Seni/Kreatif, Novel Fiksi","Hiburan atau relaksasi, Untuk mengekspresikan kreativitas, Menambah pengetahuan"
"Mainan/Collectible item, Alat Olahraga, Perlengkapan Kantor atau Sekolah","Hiburan atau relaksasi, Untuk mengekspresikan kreativitas"
"Mainan/Collectible item, Alat Tulis Umum (Kantor/Sekolah)",Hiburan atau relaksasi
Novel Fiksi,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Jurnal/Perencana (Planner), Alat Musik, Novel Fiksi","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Untuk mengekspresikan kreativitas"
Jurnal/Perencana (Planner),"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kado atau hadiah"
