Produk sering beli,Saluran belanja,Motivasi utama pembelian,Hobi
"Buku Anak, Alat Tulis Umum (Kantor/Sekolah), Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Toko buku independen lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Sebagai bentuk 'self-reward' atau apresiasi diri, Hiburan atau relaksasi",Melukis atau menggambar = Seni
"Komik/Novel Grafis, Buku Anak, Perlengkapan Kantor atau Sekolah",Aplikasi Gramedia Digital (ebook),"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Menghadiri acara budaya atau edukasi, Bermain musik, Bermain game (offline/online) = Aktivitas Rekreasional"
"Komik/Novel Grafis, Alat Musik, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)","Marketplace (Shopee, Tokopedia, dll.)","Kado atau hadiah, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Hiburan atau relaksasi","Menulis (diari, blog, atau lainnya), Belanja online/offline = Lifestyle, Olahraga"
"Komik/Novel Grafis, Mainan/Collectible item, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko Gramedia,Sebagai bentuk 'self-reward' atau apresiasi diri,"Menulis (diari, blog, atau lainnya), Membaca buku atau majalah = Literasi"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Toko alat tulis lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Menulis (diari, blog, atau lainnya)"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Aplikasi Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Untuk mengekspresikan kreativitas","Bermain game (offline/online) = Aktivitas Rekreasional, Belanja online/offline = Lifestyle, Membaca buku atau majalah = Literasi"
"Perlengkapan Kantor atau Sekolah, Alat Olahraga",Toko buku independen lainnya,"Kado atau hadiah, Sebagai bentuk 'self-reward' atau apresiasi diri, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Melukis atau menggambar = Seni, Membaca buku atau majalah = Literasi"
"Alat Tulis Umum (Kantor/Sekolah), Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Toko alat tulis lainnya,"Untuk mengekspresikan kreativitas, Hiburan atau relaksasi",Menghadiri acara budaya atau edukasi
"Alat Olahraga, Buku Anak","Marketplace (Shopee, Tokopedia, dll.)","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Melukis atau menggambar = Seni, Olahraga"
"Alat Musik, Buku Anak, Jurnal/Perencana (Planner)","Marketplace (Shopee, Tokopedia, dll.)",Hiburan atau relaksasi,"Membaca buku atau majalah = Literasi, Belanja online/offline = Lifestyle"
"Alat Tulis Umum (Kantor/Sekolah), Alat Olahraga, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Toko buku independen lainnya,"Menambah pengetahuan, Hiburan atau relaksasi","Menghadiri acara budaya atau edukasi, Travelling"
"Novel Fiksi, Alat Musik, Perlengkapan Seni/Kreatif",Toko Gramedia,Untuk mengekspresikan kreativitas,"Menulis (diari, blog, atau lainnya), Bermain musik, Membaca buku atau majalah = Literasi"
"Buku Anak, Novel Fiksi, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Toko Gramedia,Hiburan atau relaksasi,"Belanja online/offline = Lifestyle, Menulis (diari, blog, atau lainnya)"
Mainan/Collectible item,Toko alat tulis lainnya,"Menambah pengetahuan, Kado atau hadiah, Untuk mengekspresikan kreativitas","Travelling, Olahraga, Melukis atau menggambar = Seni"
"Perlengkapan Kantor atau Sekolah, Novel Fiksi, Buku Anak",Website Gramedia.com,Menambah pengetahuan,"Bermain game (offline/online) = Aktivitas Rekreasional, Menghadiri acara budaya atau edukasi, Membaca buku atau majalah = Literasi"
"Novel Fiksi, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Alat Tulis Umum (Kantor/Sekolah)",Toko buku independen lainnya,"Untuk mengekspresikan kreativitas, Sebagai bentuk 'self-reward' atau apresiasi diri","Menulis (diari, blog, atau lainnya), Olahraga, Bermain game (offline/online) = Aktivitas Rekreasional"
"Mainan/Collectible item, Alat Tulis Umum (Kantor/Sekolah), Buku Anak",Toko buku independen lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Menulis (diari, blog, atau lainnya), Belanja online/offline = Lifestyle"
Perlengkapan Kantor atau Sekolah,Aplikasi Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Kado atau hadiah, Untuk mengekspresikan kreativitas","Bermain musik, Melukis atau menggambar = Seni"
"Mainan/Collectible item, Alat Tulis Umum (Kantor/Sekolah)",Website Gramedia.com,Kado atau hadiah,"Membaca buku atau majalah = Literasi, Menghadiri acara budaya atau edukasi, Olahraga"
Alat Tulis Umum (Kantor/Sekolah),Toko buku independen lainnya,Untuk mengekspresikan kreativitas,Bermain game (offline/online) = Aktivitas Rekreasional
"Alat Musik, Perlengkapan Seni/Kreatif","Marketplace (Shopee, Tokopedia, dll.)",Untuk mengekspresikan kreativitas,"Menghadiri acara budaya atau edukasi, Menulis (diari, blog, atau lainnya), Olahraga"
"Mainan/Collectible item, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Toko Gramedia,Menambah pengetahuan,"Olahraga, Belanja online/offline = Lifestyle, Membaca buku atau majalah = Literasi"
Perlengkapan Seni/Kreatif,"Marketplace (Shopee, Tokopedia, dll.)","Menambah pengetahuan, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Untuk mengekspresikan kreativitas","Belanja online/offline = Lifestyle, Bermain musik, Menulis (diari, blog, atau lainnya)"
"Alat Olahraga, Alat Tulis Umum (Kantor/Sekolah)",Toko buku independen lainnya,"Menambah pengetahuan, Kado atau hadiah",Bermain musik
"Mainan/Collectible item, Alat Musik",Toko buku independen lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Untuk mengekspresikan kreativitas",Bermain musik
"Novel Fiksi, Alat Tulis Umum (Kantor/Sekolah), Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Toko buku independen lainnya,Hiburan atau relaksasi,"Menghadiri acara budaya atau edukasi, Menulis (diari, blog, atau lainnya)"
"Buku Anak, Perlengkapan Seni/Kreatif",Aplikasi Gramedia Digital (ebook),"Untuk mengekspresikan kreativitas, Sebagai bentuk 'self-reward' atau apresiasi diri, Menambah pengetahuan","Bermain game (offline/online) = Aktivitas Rekreasional, Belanja online/offline = Lifestyle, Travelling"
Alat Musik,Toko alat tulis lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Untuk mengekspresikan kreativitas","Membaca buku atau majalah = Literasi, Travelling"
"Novel Fiksi, Mainan/Collectible item, Jurnal/Perencana (Planner)",Aplikasi Gramedia.com,Untuk mengekspresikan kreativitas,"Membaca buku atau majalah = Literasi, Olahraga"
"Alat Musik, Novel Fiksi",Toko alat tulis lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Kado atau hadiah, Untuk mengekspresikan kreativitas","Membaca buku atau majalah = Literasi, Menghadiri acara budaya atau edukasi, Travelling"
Jurnal/Perencana (Planner),Aplikasi Gramedia Digital (ebook),"Hiburan atau relaksasi, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Menambah pengetahuan",Travelling
"Perlengkapan Kantor atau Sekolah, Alat Tulis Umum (Kantor/Sekolah)",Toko Gramedia,"Untuk mengekspresikan kreativitas, Kado atau hadiah, Menambah pengetahuan","Travelling, Melukis atau menggambar = Seni"
"Alat Tulis Umum (Kantor/Sekolah), Novel Fiksi, Komik/Novel Grafis",Toko Gramedia,"Menambah pengetahuan, Sebagai bentuk 'self-reward' atau apresiasi diri","Bermain musik, Menulis (diari, blog, atau lainnya), Membaca buku atau majalah = Literasi"
"Jurnal/Perencana (Planner), Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko Gramedia,"Hiburan atau relaksasi, Kado atau hadiah","Melukis atau menggambar = Seni, Belanja online/offline = Lifestyle, Olahraga"
"Alat Tulis Umum (Kantor/Sekolah), Alat Olahraga",Aplikasi Gramedia.com,Sebagai bentuk 'self-reward' atau apresiasi diri,Belanja online/offline = Lifestyle
Novel Fiksi,Website Gramedia.com,"Sebagai bentuk 'self-reward' atau apresiasi diri, Kado atau hadiah","Membaca buku atau majalah = Literasi, Bermain musik, Olahraga"
"Perlengkapan Kantor atau Sekolah, Komik/Novel Grafis, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)","Marketplace (Shopee, Tokopedia, dll.)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Melukis atau menggambar = Seni, Membaca buku atau majalah = Literasi, Menulis (diari, blog, atau lainnya)"
"Jurnal/Perencana (Planner), Novel Fiksi",Toko buku independen lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Hiburan atau relaksasi","Membaca buku atau majalah = Literasi, Bermain game (offline/online) = Aktivitas Rekreasional, Menghadiri acara budaya atau edukasi"
"Alat Musik, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Komik/Novel Grafis","Marketplace (Shopee, Tokopedia, dll.)",Kado atau hadiah,Belanja online/offline = Lifestyle
Alat Tulis Umum (Kantor/Sekolah),"Marketplace (Shopee, Tokopedia, dll.)","Hiburan atau relaksasi, Untuk mengekspresikan kreativitas","Melukis atau menggambar = Seni, Menulis (diari, blog, atau lainnya), Menghadiri acara budaya atau edukasi"
Mainan/Collectible item,"Marketplace (Shopee, Tokopedia, dll.)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Hiburan atau relaksasi","Menulis (diari, blog, atau lainnya)"
Alat Tulis Umum (Kantor/Sekolah),Toko buku independen lainnya,Menambah pengetahuan,"Bermain musik, Menulis (diari, blog, atau lainnya)"
"Buku Anak, Jurnal/Perencana (Planner), Alat Olahraga","Marketplace (Shopee, Tokopedia, dll.)","Menambah pengetahuan, Sebagai bentuk 'self-reward' atau apresiasi diri, Kado atau hadiah",Menghadiri acara budaya atau edukasi
"Alat Tulis Umum (Kantor/Sekolah), Alat Olahraga",Website Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Hiburan atau relaksasi, Menambah pengetahuan","Menghadiri acara budaya atau edukasi, Olahraga"
Alat Tulis Umum (Kantor/Sekolah),Aplikasi Gramedia Digital (ebook),"Menambah pengetahuan, Untuk mengekspresikan kreativitas, Sebagai bentuk 'self-reward' atau apresiasi diri",Travelling
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Alat Musik, Komik/Novel Grafis",Aplikasi Gramedia.com,"Untuk mengekspresikan kreativitas, Hiburan atau relaksasi",Olahraga
"Jurnal/Perencana (Planner), Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Aplikasi Gramedia Digital (ebook),"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Sebagai bentuk 'self-reward' atau apresiasi diri",Membaca buku atau majalah = Literasi
"Alat Musik, Perlengkapan Seni/Kreatif",Aplikasi Gramedia Digital (ebook),"Menambah pengetahuan, Sebagai bentuk 'self-reward' atau apresiasi diri","Melukis atau menggambar = Seni, Olahraga, Membaca buku atau majalah = Literasi"
"Buku Anak, Novel Fiksi, Alat Olahraga",Toko alat tulis lainnya,Sebagai bentuk 'self-reward' atau apresiasi diri,Bermain game (offline/online) = Aktivitas Rekreasional
"Buku Anak, Perlengkapan Kantor atau Sekolah, Mainan/Collectible item",Toko buku independen lainnya,Sebagai bentuk 'self-reward' atau apresiasi diri,Menghadiri acara budaya atau edukasi
"Alat Tulis Umum (Kantor/Sekolah), Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Alat Olahraga","Marketplace (Shopee, Tokopedia, dll.)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Untuk mengekspresikan kreativitas",Olahraga
"Alat Tulis Umum (Kantor/Sekolah), Perlengkapan Seni/Kreatif, Mainan/Collectible item",Toko buku independen lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Untuk mengekspresikan kreativitas","Melukis atau menggambar = Seni, Belanja online/offline = Lifestyle, Menulis (diari, blog, atau lainnya)"
"Jurnal/Perencana (Planner), Alat Musik, Alat Tulis Umum (Kantor/Sekolah)","Marketplace (Shopee, Tokopedia, dll.)",Menambah pengetahuan,"Membaca buku atau majalah = Literasi, Melukis atau menggambar = Seni, Travelling"
"Komik/Novel Grafis, Alat Olahraga",Website Gramedia.com,Menambah pengetahuan,"Menghadiri acara budaya atau edukasi, Melukis atau menggambar = Seni, Membaca buku atau majalah = Literasi"
"Alat Musik, Komik/Novel Grafis, Alat Olahraga",Aplikasi Gramedia.com,Untuk mengekspresikan kreativitas,"Menulis (diari, blog, atau lainnya), Membaca buku atau majalah = Literasi"
Perlengkapan Seni/Kreatif,Toko Gramedia,"Hiburan atau relaksasi, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Untuk mengekspresikan kreativitas",Melukis atau menggambar = Seni
"Alat Tulis Umum (Kantor/Sekolah), Alat Musik, Mainan/Collectible item",Aplikasi Gramedia Digital (ebook),"Kado atau hadiah, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Bermain game (offline/online) = Aktivitas Rekreasional
"Mainan/Collectible item, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Alat Tulis Umum (Kantor/Sekolah)",Toko Gramedia,"Menambah pengetahuan, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Untuk mengekspresikan kreativitas","Belanja online/offline = Lifestyle, Melukis atau menggambar = Seni"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Aplikasi Gramedia.com,Menambah pengetahuan,Melukis atau menggambar = Seni
"Perlengkapan Kantor atau Sekolah, Perlengkapan Seni/Kreatif, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Aplikasi Gramedia Digital (ebook),"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Sebagai bentuk 'self-reward' atau apresiasi diri","Bermain game (offline/online) = Aktivitas Rekreasional, Belanja online/offline = Lifestyle, Bermain musik"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Jurnal/Perencana (Planner)",Toko Gramedia,"Sebagai bentuk 'self-reward' atau apresiasi diri, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Melukis atau menggambar = Seni
"Novel Fiksi, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko Gramedia,"Sebagai bentuk 'self-reward' atau apresiasi diri, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Untuk mengekspresikan kreativitas","Membaca buku atau majalah = Literasi, Melukis atau menggambar = Seni, Olahraga"
"Mainan/Collectible item, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko alat tulis lainnya,"Sebagai bentuk 'self-reward' atau apresiasi diri, Hiburan atau relaksasi, Menambah pengetahuan","Menulis (diari, blog, atau lainnya), Bermain game (offline/online) = Aktivitas Rekreasional"
Alat Tulis Umum (Kantor/Sekolah),Toko buku independen lainnya,Untuk mengekspresikan kreativitas,"Menghadiri acara budaya atau edukasi, Membaca buku atau majalah = Literasi"
"Perlengkapan Seni/Kreatif, Perlengkapan Kantor atau Sekolah",Website Gramedia.com,"Menambah pengetahuan, Hiburan atau relaksasi, Sebagai bentuk 'self-reward' atau apresiasi diri","Bermain musik, Travelling, Membaca buku atau majalah = Literasi"
"Alat Musik, Mainan/Collectible item, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Aplikasi Gramedia.com,"Kado atau hadiah, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Menulis (diari, blog, atau lainnya), Olahraga, Menghadiri acara budaya atau edukasi"
"Mainan/Collectible item, Jurnal/Perencana (Planner)",Aplikasi Gramedia.com,"Untuk mengekspresikan kreativitas, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Hiburan atau relaksasi","Travelling, Bermain musik, Belanja online/offline = Lifestyle"
"Perlengkapan Seni/Kreatif, Mainan/Collectible item",Aplikasi Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Kado atau hadiah","Bermain musik, Bermain game (offline/online) = Aktivitas Rekreasional, Membaca buku atau majalah = Literasi"
"Alat Tulis Umum (Kantor/Sekolah), Jurnal/Perencana (Planner), Novel Fiksi",Aplikasi Gramedia Digital (ebook),Sebagai bentuk 'self-reward' atau apresiasi diri,"Menulis (diari, blog, atau lainnya)"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Komik/Novel Grafis, Buku Anak",Toko alat tulis lainnya,"Sebagai bentuk 'self-reward' atau apresiasi diri, Untuk mengekspresikan kreativitas, Hiburan atau relaksasi",Belanja online/offline = Lifestyle
Alat Olahraga,Website Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Menambah pengetahuan","Melukis atau menggambar = Seni, Travelling"
Alat Musik,"Marketplace (Shopee, Tokopedia, dll.)","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Menambah pengetahuan","Membaca buku atau majalah = Literasi, Travelling, Olahraga"
Mainan/Collectible item,Aplikasi Gramedia Digital (ebook),"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Bermain game (offline/online) = Aktivitas Rekreasional, Bermain musik"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Alat Tulis Umum (Kantor/Sekolah), Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Aplikasi Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Menambah pengetahuan, Kado atau hadiah","Bermain game (offline/online) = Aktivitas Rekreasional, Olahraga"
"Buku Anak, Novel Fiksi, Mainan/Collectible item",Aplikasi Gramedia Digital (ebook),"Kado atau hadiah, Untuk mengekspresikan kreativitas, Sebagai bentuk 'self-reward' atau apresiasi diri","Belanja online/offline = Lifestyle, Membaca buku atau majalah = Literasi, Travelling"
"Novel Fiksi, Buku Anak",Toko Gramedia,Untuk mengekspresikan kreativitas,"Membaca buku atau majalah = Literasi, Melukis atau menggambar = Seni, Menulis (diari, blog, atau lainnya)"
"Perlengkapan Seni/Kreatif, Alat Musik",Aplikasi Gramedia Digital (ebook),"Kado atau hadiah, Sebagai bentuk 'self-reward' atau apresiasi diri",Belanja online/offline = Lifestyle
Komik/Novel Grafis,Toko buku independen lainnya,"Untuk mengekspresikan kreativitas, Kado atau hadiah, Menambah pengetahuan","Menulis (diari, blog, atau lainnya), Travelling, Belanja online/offline = Lifestyle"
"Alat Musik, Perlengkapan Kantor atau Sekolah, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko buku independen lainnya,"Untuk mengekspresikan kreativitas, Sebagai bentuk 'self-reward' atau apresiasi diri","Belanja online/offline = Lifestyle, Olahraga, Bermain musik"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Aplikasi Gramedia Digital (ebook),"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Olahraga
Perlengkapan Kantor atau Sekolah,Aplikasi Gramedia.com,"Untuk mengekspresikan kreativitas, Sebagai bentuk 'self-reward' atau apresiasi diri","Menulis (diari, blog, atau lainnya)"
"Perlengkapan Kantor atau Sekolah, Mainan/Collectible item",Toko Gramedia,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Hiburan atau relaksasi, Kado atau hadiah","Bermain musik, Menulis (diari, blog, atau lainnya)"
Alat Tulis Umum (Kantor/Sekolah),Aplikasi Gramedia.com,"Menambah pengetahuan, Sebagai bentuk 'self-reward' atau apresiasi diri, Hiburan atau relaksasi",Menghadiri acara budaya atau edukasi
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Komik/Novel Grafis, Alat Tulis Umum (Kantor/Sekolah)",Toko Gramedia,"Sebagai bentuk 'self-reward' atau apresiasi diri, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Untuk mengekspresikan kreativitas",Menghadiri acara budaya atau edukasi
"Buku Anak, Alat Tulis Umum (Kantor/Sekolah), Alat Olahraga",Toko alat tulis lainnya,Menambah pengetahuan,"Menulis (diari, blog, atau lainnya)"
