Produk sering beli,Saluran belanja,Motivasi utama pembelian,Hobi,Minat
Mainan/Collectible item,Toko Gramedia,"Sebagai bentuk 'self-reward' atau apresiasi diri, Hiburan atau relaksasi, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Belanja online/offline, Bermain game (offline/online), Menghadiri acara budaya atau edukasi","Buku non-fiksi (pengembangan diri, sejarah, agama)"
Buku Anak,Aplikasi Gramedia Digital (ebook),Hiburan atau relaksasi,"Olahraga, Bermain game (offline/online)","Alat Olahraga, Buku non-fiksi (pengembangan diri, sejarah, agama)"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Komik/Novel Grafis","Marketplace (Shopee, Tokopedia, dll.)","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Untuk mengekspresikan kreativitas, Sebagai bentuk 'self-reward' atau apresiasi diri","Menulis (diari, blog, atau lainnya)",Alat Tulis kantor atau sekolah
Jurnal/Perencana (Planner),Aplikasi Gramedia Digital (ebook),"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Sebagai bentuk 'self-reward' atau apresiasi diri","Membaca buku atau majalah , Menghadiri acara budaya atau edukasi","Alat Olahraga, Buku fiksi (novel, komik, buku anak), Alat Musik & kesenian"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)","Marketplace (Shopee, Tokopedia, dll.)","Menambah pengetahuan, Sebagai bentuk 'self-reward' atau apresiasi diri","Olahraga, Membaca buku atau majalah ",Kesehatan dan Kecantikan
Alat Musik,Aplikasi Gramedia Digital (ebook),"Hiburan atau relaksasi, Untuk mengekspresikan kreativitas, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Bermain game (offline/online), Melukis atau menggambar ","Buku non-fiksi (pengembangan diri, sejarah, agama)"
"Alat Olahraga, Perlengkapan Kantor atau Sekolah","Marketplace (Shopee, Tokopedia, dll.)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Menulis (diari, blog, atau lainnya), Belanja online/offline","Mainan, Alat Olahraga, Kesehatan dan Kecantikan"
"Buku Anak, Novel Fiksi","Marketplace (Shopee, Tokopedia, dll.)","Hiburan atau relaksasi, Menambah pengetahuan, Untuk mengekspresikan kreativitas",Menghadiri acara budaya atau edukasi,"Buku fiksi (novel, komik, buku anak), Kesehatan dan Kecantikan"
Buku Anak,Toko alat tulis lainnya,"Untuk mengekspresikan kreativitas, Hiburan atau relaksasi, Sebagai bentuk 'self-reward' atau apresiasi diri",Belanja online/offline,Alat Tulis kantor atau sekolah
"Buku Anak, Alat Tulis Umum (Kantor/Sekolah), Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Toko buku independen lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Sebagai bentuk 'self-reward' atau apresiasi diri, Hiburan atau relaksasi",Melukis atau menggambar ,"Kesehatan dan Kecantikan, Buku fiksi (novel, komik, buku anak)"
"Komik/Novel Grafis, Buku Anak, Perlengkapan Kantor atau Sekolah",Aplikasi Gramedia Digital (ebook),"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Menghadiri acara budaya atau edukasi, Bermain musik, Bermain game (offline/online)","Buku Edukasi (Buku Teks, Latihan Soal, Kamus), Kesehatan dan Kecantikan, Buku fiksi (novel, komik, buku anak)"
"Komik/Novel Grafis, Alat Musik, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)","Marketplace (Shopee, Tokopedia, dll.)","Kado atau hadiah, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Hiburan atau relaksasi","Menulis (diari, blog, atau lainnya), Belanja online/offline, Olahraga","Alat Olahraga, Kesehatan dan Kecantikan, Alat Tulis kantor atau sekolah"
"Komik/Novel Grafis, Mainan/Collectible item, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko Gramedia,Sebagai bentuk 'self-reward' atau apresiasi diri,"Menulis (diari, blog, atau lainnya), Membaca buku atau majalah ","Buku Edukasi (Buku Teks, Latihan Soal, Kamus), Kesehatan dan Kecantikan"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Toko alat tulis lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Menulis (diari, blog, atau lainnya)",Alat Olahraga
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Aplikasi Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Untuk mengekspresikan kreativitas","Bermain game (offline/online), Belanja online/offline, Membaca buku atau majalah ","Kesehatan dan Kecantikan, Buku fiksi (novel, komik, buku anak), Buku Edukasi (Buku Teks, Latihan Soal, Kamus)"
"Perlengkapan Kantor atau Sekolah, Alat Olahraga",Toko buku independen lainnya,"Kado atau hadiah, Sebagai bentuk 'self-reward' atau apresiasi diri, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Melukis atau menggambar , Membaca buku atau majalah ",Kesehatan dan Kecantikan
"Alat Tulis Umum (Kantor/Sekolah), Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Toko alat tulis lainnya,"Untuk mengekspresikan kreativitas, Hiburan atau relaksasi",Menghadiri acara budaya atau edukasi,"Alat Musik & kesenian, Mainan"
"Alat Olahraga, Buku Anak","Marketplace (Shopee, Tokopedia, dll.)","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Melukis atau menggambar , Olahraga","Buku fiksi (novel, komik, buku anak), Buku non-fiksi (pengembangan diri, sejarah, agama), Kesehatan dan Kecantikan"
"Alat Musik, Buku Anak, Jurnal/Perencana (Planner)","Marketplace (Shopee, Tokopedia, dll.)",Hiburan atau relaksasi,"Membaca buku atau majalah , Belanja online/offline","Buku non-fiksi (pengembangan diri, sejarah, agama), Buku Edukasi (Buku Teks, Latihan Soal, Kamus), Kesehatan dan Kecantikan"
"Alat Tulis Umum (Kantor/Sekolah), Alat Olahraga, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Toko buku independen lainnya,"Menambah pengetahuan, Hiburan atau relaksasi","Menghadiri acara budaya atau edukasi, Travelling","Alat Tulis kantor atau sekolah, Kesehatan dan Kecantikan, Buku non-fiksi (pengembangan diri, sejarah, agama)"
"Novel Fiksi, Alat Musik, Perlengkapan Seni/Kreatif",Toko Gramedia,Untuk mengekspresikan kreativitas,"Menulis (diari, blog, atau lainnya), Bermain musik, Membaca buku atau majalah ","Buku non-fiksi (pengembangan diri, sejarah, agama), Buku fiksi (novel, komik, buku anak), Kesehatan dan Kecantikan"
"Buku Anak, Novel Fiksi, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Toko Gramedia,Hiburan atau relaksasi,"Belanja online/offline, Menulis (diari, blog, atau lainnya)","Kesehatan dan Kecantikan, Buku Edukasi (Buku Teks, Latihan Soal, Kamus)"
Mainan/Collectible item,Toko alat tulis lainnya,"Menambah pengetahuan, Kado atau hadiah, Untuk mengekspresikan kreativitas","Travelling, Olahraga, Melukis atau menggambar ","Buku Edukasi (Buku Teks, Latihan Soal, Kamus)"
"Perlengkapan Kantor atau Sekolah, Novel Fiksi, Buku Anak",Website Gramedia.com,Menambah pengetahuan,"Bermain game (offline/online), Menghadiri acara budaya atau edukasi, Membaca buku atau majalah ","Alat Musik & kesenian, Alat Olahraga"
"Novel Fiksi, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Alat Tulis Umum (Kantor/Sekolah)",Toko buku independen lainnya,"Untuk mengekspresikan kreativitas, Sebagai bentuk 'self-reward' atau apresiasi diri","Menulis (diari, blog, atau lainnya), Olahraga, Bermain game (offline/online)",Alat Musik & kesenian
"Mainan/Collectible item, Alat Tulis Umum (Kantor/Sekolah), Buku Anak",Toko buku independen lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Menulis (diari, blog, atau lainnya), Belanja online/offline","Kesehatan dan Kecantikan, Alat Olahraga, Buku Edukasi (Buku Teks, Latihan Soal, Kamus)"
Perlengkapan Kantor atau Sekolah,Aplikasi Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Kado atau hadiah, Untuk mengekspresikan kreativitas","Bermain musik, Melukis atau menggambar ",Mainan
"Mainan/Collectible item, Alat Tulis Umum (Kantor/Sekolah)",Website Gramedia.com,Kado atau hadiah,"Membaca buku atau majalah , Menghadiri acara budaya atau edukasi, Olahraga","Buku fiksi (novel, komik, buku anak), Mainan"
Alat Tulis Umum (Kantor/Sekolah),Toko buku independen lainnya,Untuk mengekspresikan kreativitas,Bermain game (offline/online),"Mainan, Alat Tulis kantor atau sekolah"
"Alat Musik, Perlengkapan Seni/Kreatif","Marketplace (Shopee, Tokopedia, dll.)",Untuk mengekspresikan kreativitas,"Menghadiri acara budaya atau edukasi, Menulis (diari, blog, atau lainnya), Olahraga",Alat Musik & kesenian
"Mainan/Collectible item, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Toko Gramedia,Menambah pengetahuan,"Olahraga, Belanja online/offline, Membaca buku atau majalah ","Alat Olahraga, Buku Edukasi (Buku Teks, Latihan Soal, Kamus), Buku non-fiksi (pengembangan diri, sejarah, agama)"
Perlengkapan Seni/Kreatif,"Marketplace (Shopee, Tokopedia, dll.)","Menambah pengetahuan, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Untuk mengekspresikan kreativitas","Belanja online/offline, Bermain musik, Menulis (diari, blog, atau lainnya)","Buku fiksi (novel, komik, buku anak)"
"Alat Olahraga, Alat Tulis Umum (Kantor/Sekolah)",Toko buku independen lainnya,"Menambah pengetahuan, Kado atau hadiah",Bermain musik,"Alat Musik & kesenian, Alat Tulis kantor atau sekolah, Alat Olahraga"
"Mainan/Collectible item, Alat Musik",Toko buku independen lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Untuk mengekspresikan kreativitas",Bermain musik,"Alat Musik & kesenian, Mainan, Kesehatan dan Kecantikan"
"Novel Fiksi, Alat Tulis Umum (Kantor/Sekolah), Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Toko buku independen lainnya,Hiburan atau relaksasi,"Menghadiri acara budaya atau edukasi, Menulis (diari, blog, atau lainnya)","Alat Olahraga, Buku non-fiksi (pengembangan diri, sejarah, agama), Alat Musik & kesenian"
"Buku Anak, Perlengkapan Seni/Kreatif",Aplikasi Gramedia Digital (ebook),"Untuk mengekspresikan kreativitas, Sebagai bentuk 'self-reward' atau apresiasi diri, Menambah pengetahuan","Bermain game (offline/online), Belanja online/offline, Travelling","Buku fiksi (novel, komik, buku anak), Kesehatan dan Kecantikan, Alat Musik & kesenian"
Alat Musik,Toko alat tulis lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Untuk mengekspresikan kreativitas","Membaca buku atau majalah , Travelling",Alat Musik & kesenian
"Novel Fiksi, Mainan/Collectible item, Jurnal/Perencana (Planner)",Aplikasi Gramedia.com,Untuk mengekspresikan kreativitas,"Membaca buku atau majalah , Olahraga","Buku Edukasi (Buku Teks, Latihan Soal, Kamus)"
"Alat Musik, Novel Fiksi",Toko alat tulis lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Kado atau hadiah, Untuk mengekspresikan kreativitas","Membaca buku atau majalah , Menghadiri acara budaya atau edukasi, Travelling","Buku Edukasi (Buku Teks, Latihan Soal, Kamus)"
Jurnal/Perencana (Planner),Aplikasi Gramedia Digital (ebook),"Hiburan atau relaksasi, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Menambah pengetahuan",Travelling,"Buku Edukasi (Buku Teks, Latihan Soal, Kamus)"
"Perlengkapan Kantor atau Sekolah, Alat Tulis Umum (Kantor/Sekolah)",Toko Gramedia,"Untuk mengekspresikan kreativitas, Kado atau hadiah, Menambah pengetahuan","Travelling, Melukis atau menggambar ","Alat Musik & kesenian, Buku non-fiksi (pengembangan diri, sejarah, agama), Mainan"
"Alat Tulis Umum (Kantor/Sekolah), Novel Fiksi, Komik/Novel Grafis",Toko Gramedia,"Menambah pengetahuan, Sebagai bentuk 'self-reward' atau apresiasi diri","Bermain musik, Menulis (diari, blog, atau lainnya), Membaca buku atau majalah ",Alat Tulis kantor atau sekolah
"Jurnal/Perencana (Planner), Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko Gramedia,"Hiburan atau relaksasi, Kado atau hadiah","Melukis atau menggambar , Belanja online/offline, Olahraga","Kesehatan dan Kecantikan, Buku Edukasi (Buku Teks, Latihan Soal, Kamus), Buku non-fiksi (pengembangan diri, sejarah, agama)"
"Alat Tulis Umum (Kantor/Sekolah), Alat Olahraga",Aplikasi Gramedia.com,Sebagai bentuk 'self-reward' atau apresiasi diri,Belanja online/offline,"Alat Musik & kesenian, Buku non-fiksi (pengembangan diri, sejarah, agama), Kesehatan dan Kecantikan"
Novel Fiksi,Website Gramedia.com,"Sebagai bentuk 'self-reward' atau apresiasi diri, Kado atau hadiah","Membaca buku atau majalah , Bermain musik, Olahraga",Alat Musik & kesenian
"Perlengkapan Kantor atau Sekolah, Komik/Novel Grafis, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)","Marketplace (Shopee, Tokopedia, dll.)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Melukis atau menggambar , Membaca buku atau majalah , Menulis (diari, blog, atau lainnya)","Mainan, Kesehatan dan Kecantikan"
"Jurnal/Perencana (Planner), Novel Fiksi",Toko buku independen lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Hiburan atau relaksasi","Membaca buku atau majalah , Bermain game (offline/online), Menghadiri acara budaya atau edukasi","Alat Musik & kesenian, Buku Edukasi (Buku Teks, Latihan Soal, Kamus)"
"Alat Musik, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Komik/Novel Grafis","Marketplace (Shopee, Tokopedia, dll.)",Kado atau hadiah,Belanja online/offline,"Buku non-fiksi (pengembangan diri, sejarah, agama), Buku Edukasi (Buku Teks, Latihan Soal, Kamus)"
Alat Tulis Umum (Kantor/Sekolah),"Marketplace (Shopee, Tokopedia, dll.)","Hiburan atau relaksasi, Untuk mengekspresikan kreativitas","Melukis atau menggambar , Menulis (diari, blog, atau lainnya), Menghadiri acara budaya atau edukasi","Alat Tulis kantor atau sekolah, Buku non-fiksi (pengembangan diri, sejarah, agama)"
Mainan/Collectible item,"Marketplace (Shopee, Tokopedia, dll.)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Hiburan atau relaksasi","Menulis (diari, blog, atau lainnya)","Kesehatan dan Kecantikan, Alat Musik & kesenian"
Alat Tulis Umum (Kantor/Sekolah),Toko buku independen lainnya,Menambah pengetahuan,"Bermain musik, Menulis (diari, blog, atau lainnya)","Alat Tulis kantor atau sekolah, Kesehatan dan Kecantikan, Buku non-fiksi (pengembangan diri, sejarah, agama)"
"Buku Anak, Jurnal/Perencana (Planner), Alat Olahraga","Marketplace (Shopee, Tokopedia, dll.)","Menambah pengetahuan, Sebagai bentuk 'self-reward' atau apresiasi diri, Kado atau hadiah",Menghadiri acara budaya atau edukasi,"Buku fiksi (novel, komik, buku anak), Alat Tulis kantor atau sekolah"
"Alat Tulis Umum (Kantor/Sekolah), Alat Olahraga",Website Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Hiburan atau relaksasi, Menambah pengetahuan","Menghadiri acara budaya atau edukasi, Olahraga","Alat Tulis kantor atau sekolah, Kesehatan dan Kecantikan"
Alat Tulis Umum (Kantor/Sekolah),Aplikasi Gramedia Digital (ebook),"Menambah pengetahuan, Untuk mengekspresikan kreativitas, Sebagai bentuk 'self-reward' atau apresiasi diri",Travelling,Mainan
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Alat Musik, Komik/Novel Grafis",Aplikasi Gramedia.com,"Untuk mengekspresikan kreativitas, Hiburan atau relaksasi",Olahraga,"Buku Edukasi (Buku Teks, Latihan Soal, Kamus), Mainan, Alat Olahraga"
"Jurnal/Perencana (Planner), Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Aplikasi Gramedia Digital (ebook),"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Sebagai bentuk 'self-reward' atau apresiasi diri",Membaca buku atau majalah ,Mainan
"Alat Musik, Perlengkapan Seni/Kreatif",Aplikasi Gramedia Digital (ebook),"Menambah pengetahuan, Sebagai bentuk 'self-reward' atau apresiasi diri","Melukis atau menggambar , Olahraga, Membaca buku atau majalah ","Kesehatan dan Kecantikan, Buku Edukasi (Buku Teks, Latihan Soal, Kamus)"
"Buku Anak, Novel Fiksi, Alat Olahraga",Toko alat tulis lainnya,Sebagai bentuk 'self-reward' atau apresiasi diri,Bermain game (offline/online),"Mainan, Alat Musik & kesenian"
"Buku Anak, Perlengkapan Kantor atau Sekolah, Mainan/Collectible item",Toko buku independen lainnya,Sebagai bentuk 'self-reward' atau apresiasi diri,Menghadiri acara budaya atau edukasi,"Kesehatan dan Kecantikan, Buku fiksi (novel, komik, buku anak), Buku Edukasi (Buku Teks, Latihan Soal, Kamus)"
"Alat Tulis Umum (Kantor/Sekolah), Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Alat Olahraga","Marketplace (Shopee, Tokopedia, dll.)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Untuk mengekspresikan kreativitas",Olahraga,Kesehatan dan Kecantikan
"Alat Tulis Umum (Kantor/Sekolah), Perlengkapan Seni/Kreatif, Mainan/Collectible item",Toko buku independen lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Untuk mengekspresikan kreativitas","Melukis atau menggambar , Belanja online/offline, Menulis (diari, blog, atau lainnya)","Buku Edukasi (Buku Teks, Latihan Soal, Kamus)"
"Jurnal/Perencana (Planner), Alat Musik, Alat Tulis Umum (Kantor/Sekolah)","Marketplace (Shopee, Tokopedia, dll.)",Menambah pengetahuan,"Membaca buku atau majalah , Melukis atau menggambar , Travelling","Buku fiksi (novel, komik, buku anak)"
"Komik/Novel Grafis, Alat Olahraga",Website Gramedia.com,Menambah pengetahuan,"Menghadiri acara budaya atau edukasi, Melukis atau menggambar , Membaca buku atau majalah ",Alat Olahraga
"Alat Musik, Komik/Novel Grafis, Alat Olahraga",Aplikasi Gramedia.com,Untuk mengekspresikan kreativitas,"Menulis (diari, blog, atau lainnya), Membaca buku atau majalah ","Alat Tulis kantor atau sekolah, Alat Musik & kesenian"
Perlengkapan Seni/Kreatif,Toko Gramedia,"Hiburan atau relaksasi, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Untuk mengekspresikan kreativitas",Melukis atau menggambar ,"Alat Olahraga, Alat Musik & kesenian"
"Alat Tulis Umum (Kantor/Sekolah), Alat Musik, Mainan/Collectible item",Aplikasi Gramedia Digital (ebook),"Kado atau hadiah, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Bermain game (offline/online),"Mainan, Alat Olahraga"
"Mainan/Collectible item, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Alat Tulis Umum (Kantor/Sekolah)",Toko Gramedia,"Menambah pengetahuan, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Untuk mengekspresikan kreativitas","Belanja online/offline, Melukis atau menggambar ","Buku non-fiksi (pengembangan diri, sejarah, agama), Alat Musik & kesenian, Buku fiksi (novel, komik, buku anak)"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Aplikasi Gramedia.com,Menambah pengetahuan,Melukis atau menggambar ,Alat Tulis kantor atau sekolah
"Perlengkapan Kantor atau Sekolah, Perlengkapan Seni/Kreatif, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Aplikasi Gramedia Digital (ebook),"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Sebagai bentuk 'self-reward' atau apresiasi diri","Bermain game (offline/online), Belanja online/offline, Bermain musik","Buku Edukasi (Buku Teks, Latihan Soal, Kamus), Buku non-fiksi (pengembangan diri, sejarah, agama), Alat Musik & kesenian"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Jurnal/Perencana (Planner)",Toko Gramedia,"Sebagai bentuk 'self-reward' atau apresiasi diri, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Melukis atau menggambar ,"Alat Olahraga, Mainan"
"Novel Fiksi, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko Gramedia,"Sebagai bentuk 'self-reward' atau apresiasi diri, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Untuk mengekspresikan kreativitas","Membaca buku atau majalah , Melukis atau menggambar , Olahraga","Kesehatan dan Kecantikan, Alat Olahraga, Alat Tulis kantor atau sekolah"
